Algorithm,Sample,Result,Time,Seed
MEMETICALGORITHM,100,554.1200774022462,25.8819260597229,14
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,511.7933080548232,46.36850142478943,14
EVOLUTIONSTRATEGY,100,480.5453276528818,0.2752039432525635,14
DIFFERENTIALEVOLUTION,100,521.1360054387048,0.9924952983856201,14
BASE,100,489.3971065936887,0.12570643424987793,15
GENETICALGORITHM,100,545.3483761129793,1.367903232574463,15
MEMETICALGORITHM,100,556.4297011804131,27.308288097381592,15
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,504.1007853322178,49.14687657356262,15
EVOLUTIONSTRATEGY,100,495.55801213712823,0.3186042308807373,15
DIFFERENTIALEVOLUTION,100,524.379492886576,1.384615182876587,15
BASE,100,489.10436031412416,0.10964679718017578,16
GENETICALGORITHM,100,547.0726533722599,1.9520201683044434,16
MEMETICALGORITHM,100,554.5797078904126,27.758280754089355,16
MEMETICALGORITHMHYBRIDLOCALSEARCH,100,515.929009778961,49.09788489341736,16
